D_HDN	D_MFI	VPCT	VPPD_Nor	VPPD_Cen	VPPD_Sur	VPPD_Tot	CMg_Nor	CMg_Cen	CMg_Sur	Capital	Dem_Tot	Ccapital	
348.841	23.2391	812.84	6561.18	3117.57	379.755	10334.3	489.93	56.8443	28.5368	56	11270	75	
190.838	15.737	476.744	3083.52	1879.59	276.806	5270.86	249.694	38.8435	26.3072	56	8690	75	
46.8341	7.35569	1392.45	4775.64	1309.07	5002.14	11280.7	247.86	32.5327	233.043	56	9340	75	
70.3393	7.24935	1630.21	3796.87	1145.11	7561.4	12558.7	200.808	30.3786	349.618	56	8510	75	
143.231	10.853	498.507	2868.38	1346.2	285.989	4889.59	188.22	29.5589	22.5167	56	9480	75	
141	14.4616	1091.57	6960.72	1933.9	602.507	11013.3	381.016	43.9671	36.695	56	10580	75	
136.722	12.9745	861.634	5487.25	1710.07	368.152	8724.23	308.408	38.6941	26.1513	56	10170	75	
275.953	19.7473	754.02	5482.54	2346.13	366.185	8795.37	371.056	46.3695	27.4077	56	10909	75	
293.377	19.3527	575.291	4139.99	2139.6	325.794	6792.29	311.231	41.4564	25.8057	56	10650	75	
76.5907	17.1986	5855.12	20835.4	4460.83	23600.6	50796.2	1053.93	101.853	1065.79	56	11680	75	
322.2	25.5186	1421.32	10504.7	4635.18	633.734	19222.4	735.626	84.6763	40.0713	56	11670	75	
262.095	17.5146	510.305	3753.6	2077.86	311.302	6225.24	296.52	40.6814	26.4064	56	10017	75	
263.941	22.3501	1514.57	11011.6	3872.88	553.323	18607.2	699.098	73.6501	34.4975	56	11740	75	
74.6183	6.63691	433.061	2132.62	938.121	259.689	3653.06	127.781	23.1168	20.6235	56	8860	75	
62.2972	9.28895	1521.53	6090.23	1564.66	4799.57	12862.4	315.833	37.9863	223.944	56	9790	75	
66.4577	7.4726	897.342	3605.71	1165.47	2275.68	7503.77	196.945	28.6077	111.066	56	9180	75	
192.572	15.1347	703.579	4673.55	1839.26	345.257	7601.2	291.781	38.9405	25.7095	56	10290	75	
173.304	18.3653	2545.76	7692.55	2500.27	10888.6	21777.3	434.994	55.0757	499.894	56	10580	75	
193.337	18.5586	2170.27	6413.44	2368.44	9389.32	18468.2	378.575	51.1348	432.656	56	10170	75	
44.1552	16.6293	6195.93	31241.4	5681.65	18310.5	55513.9	1529.19	132.517	824.353	56	12205	75	
222.032	21.202	1968.13	8324.63	3075.8	5790.87	19263.6	516.119	62.7685	271.569	56	11020	75	
193.451	19.9105	2126.88	12473	3714.29	1565.87	24637.5	737.075	74.1407	77.5396	56	11700	75	
111.338	16.5284	3101.49	13301.5	3376.05	8780.88	30158.5	735.069	71.794	400.763	56	11489	75	
67.3769	15.7164	4518.39	20605.6	4176.5	14145.9	40902.4	1042.46	95.1138	640.038	56	11680	75	
83.8081	13.5351	2357.62	9755.16	2249.42	7715.44	20617.3	501.783	52.8921	354.76	56	10868	75	
197.757	14.3971	566.687	3703.98	1739	316.819	6157.26	253.871	35.9163	24.66	56	10010	75	
140.175	10.853	502.882	2951.27	1390.34	292.729	5028.97	194.633	30.3081	22.9952	56	9480	75	
204.12	16.9415	842.639	5834.41	2115.56	387.662	9370.85	353.047	44.5534	27.9494	56	10690	75	
213.673	20.8107	1437.26	5794.79	2552.44	4649.93	13426.1	378.408	51.8074	220.824	56	10290	75	
140.341	14.4916	1209.13	6980.92	1978.04	1434.04	11883.5	382.014	44.7163	74.1404	56	10580	75	
433	30	1366	12042.4	6109.99	545.956	18728.2	929.533	104.299	39.2269	56	12205	75	
272.896	19.7473	758.395	5565.43	2390.27	372.925	8934.74	377.469	47.1187	27.8862	56	10909	75	
290.321	19.3527	579.667	4222.88	2183.74	332.534	6931.67	317.643	42.2056	26.2841	56	10650	75	
187.924	12.8408	418.504	2683.6	1600.82	277.755	4621.2	213.951	32.8414	23.9609	56	9350	75	
155.303	16.4446	1490.25	8959.31	2445.64	1380.3	15603.7	499.005	53.2965	70.9942	56	11041	75	
287.702	26.3788	701.423	4943.1	2983.38	387.938	8318.31	388.235	56.0328	31.8466	56	10017	75	
93.622	6.70546	292.987	1146.75	918.836	232.641	2317.85	93.9402	21.2684	19.9709	56	8640	75	
81.3147	11.8501	1851.31	7851.24	1907.26	5663.64	16122.8	406.678	45.3242	262.872	56	10380	75	
190.98	12.8408	414.129	2600.71	1556.68	271.014	4481.82	207.538	32.0922	23.4824	56	9350	75	
265.152	17.5146	505.93	3670.71	2033.72	304.562	6085.86	290.107	39.9322	25.9279	56	10017	75	
43.496	16.6593	6313.5	31261.6	5686.74	19142.1	56384	1530.2	132.637	861.799	56	12205	75	
212.696	18.255	1040.24	7279.66	2479.13	419.407	11588.9	435.299	51.1899	29.0869	56	11020	75	
263.309	23.7018	2379.63	12074.9	4593.91	4129.23	27073.2	781.204	87.5622	195.068	56	11740	75	
136.063	13.0045	884.287	5507.45	1754.21	374.892	8929.33	309.407	39.4433	26.6298	56	10170	75	
73.9591	6.66688	455.714	2152.82	979.131	266.429	3858.17	128.78	23.8155	21.102	56	8860	75	
80.6555	11.8801	1968.87	7871.44	1912.36	6495.18	16993	407.677	45.4441	300.317	56	10380	75	
200.814	14.3971	562.312	3621.09	1694.86	310.078	6017.88	247.458	35.1671	24.1815	56	10010	75	
68.0362	15.6864	4400.84	20585.4	4171.4	13314.3	40032.2	1041.46	94.9939	602.592	56	11680	75	
126.494	11.3441	702.007	4183.17	1523.83	334.06	6984.89	242.527	34.3036	24.7009	56	9760	75	
111.997	16.4984	2983.93	13281.3	3370.96	7949.34	29288.3	734.07	71.6741	363.318	56	11489	75	
351.898	23.2391	808.464	6478.28	3073.41	373.015	10194.9	483.517	56.0652	28.0583	56	11270	75	
52.8563	6.50105	1512.65	3776.67	1096.47	6729.86	11688.6	199.809	29.2222	312.173	56	8510	75	
194.11	19.8805	2009.32	12452.8	3670.13	734.317	23767.3	736.076	73.3615	40.0942	56	11700	75	
291.943	24.3684	724.798	5290.94	2892.63	409.17	8859.38	400.118	54.3584	31.7243	56	10650	75	
164.33	19.346	2944.44	9610.13	3013.57	11666.4	26367.7	545.984	64.6393	534.194	56	11041	75	
470.811	30	1165.88	10375	4877.28	435.877	15806.5	801.005	83.362	31.2663	56	12205	75	
270.348	17.5146	498.492	3529.8	1958.68	293.104	5848.92	279.205	38.6586	25.1145	56	10017	75	
107.756	10.2811	2156.57	4906.94	1502.3	10407.1	16936.8	254.35	36.9305	476.438	56	9340	75	
189.515	15.1347	707.954	4756.44	1883.41	351.997	7740.58	298.194	39.6896	26.188	56	10290	75	
326.167	23.2766	914.088	7337.62	3622.03	436.372	11801.8	549.893	65.7603	32.6118	56	11270	75	
83.1488	13.565	2475.17	9775.36	2254.52	8546.98	21487.5	502.782	53.0119	392.206	56	10868	75	
45.2518	7.42761	1674.58	4824.12	1321.29	6997.83	13369.1	250.256	32.8204	322.912	56	9340	75	
296.246	24.5322	1710.71	12438.4	4616.57	686.174	22860.4	818.691	86.2644	40.2529	56	12010	75	
136.231	11.6694	385.356	2030.43	1406.27	275.834	3733.29	161.858	29.3449	22.9282	56	9000	75	
192.066	19.5289	4238.54	10235.3	2788.66	21020	34540	531.315	64.7291	953.886	56	10868	75	
211.154	12.8408	385.253	2053.65	1265.34	226.529	3561.93	165.212	27.1476	20.3246	56	9350	75	
322.109	24.1409	1242.12	9642.13	3961.09	467.602	15281.9	669.129	72.4649	32.6686	56	11670	75	
431.443	26.7777	941.72	7883.03	3769.01	369.452	12120.7	607.792	65.8116	27.3117	56	11727	75	
205.924	16.9258	835.49	5751.52	2071.42	380.921	9221.5	346.634	43.8042	27.4709	56	10690	75	
289.402	19.7473	734.769	5117.83	2151.91	336.528	8182.11	342.839	43.0732	25.3025	56	10909	75	
218.301	18.2372	1005.6	7163.47	2377.61	403.905	11153.1	426.98	49.4668	27.9838	56	11020	75	
281.947	21.7888	671.111	5018.8	2664.33	393.196	8373.29	379.158	50.489	30.5904	56	10650	75	
408.362	25.7711	904.463	7495.73	3577.69	371.465	11593.6	573.391	63.1547	27.5847	56	11597	75	
276.058	23.72	647.735	4670.95	2755.09	371.964	7832.22	367.275	52.1634	30.7126	56	10017	75	
190.746	14.4241	586.452	3952.65	1871.43	337.039	6599.26	273.11	38.1638	26.0954	56	10010	75	
238.922	24.3148	2324.33	8672.57	3367.67	8310.45	21900.2	542.915	67.7154	385.029	56	11020	75	
227.469	23.6564	8329.67	21508.8	5140.24	41113.1	69112.8	1089.1	116.598	1856.66	56	11680	75	
432.573	27.7801	1264.45	10309.6	4262.19	400.749	15586.7	736.818	75.1566	27.3607	56	12140	75	
284.415	22.3195	1378.63	10629.8	3541.71	446.24	15915	671.721	67.8065	29.0941	56	11740	75	
315.372	20.3168	921.47	6044.72	2213	302.706	8569.03	387.533	45.0809	21.8912	56	11050	75	
185.443	15.2787	809.507	5179.17	2108.53	386.372	8736.33	330.9	43.5104	28.6282	56	10290	75	
267.186	21.1795	905.66	6334.46	2814.9	434.934	10611.9	436.958	54.9448	32.2881	56	10909	75	
160.856	17.4902	1679.19	10877.1	2979.4	588.576	18893.6	618.663	62.5101	34.0851	56	11340	75	
198.697	19.7086	1662.75	12331.6	3573.03	563.93	19601.6	730.085	71.5193	32.7927	56	11700	75	
107.119	16.7202	3853.85	13430.8	3528.93	14102.8	35727.5	741.46	75.2846	640.414	56	11489	75	
345.424	26.598	1489.42	11321.1	5092.18	650.281	20473.1	805.559	91.4746	40.8612	56	11870	75	
324.234	31.9278	3394.15	14696.4	5855.51	11327	34582.7	983.521	112.26	525.041	56	11740	75	
77.1623	7.41825	685.45	2307.94	1076.85	1844.72	5570.07	140.536	25.519	92.2282	56	8860	75	
149.632	14.3327	971.197	6835.49	1882.92	370.887	9739.32	374.825	42.9113	25.2204	56	10580	75	
221.241	12.8408	376.399	1821.7	1142.98	207.394	3173.52	147.298	25.1101	19.048	56	9350	75	
361.54	24.1409	1111.98	8572.7	3391.15	380.653	13114.7	586.402	62.3863	26.3622	56	11670	75	
261.304	22.47	1605.18	11343.2	4055.11	649.412	20837.5	724.75	77.2384	38.5749	56	11740	75	
103.453	7.6329	455.518	2081.42	939.81	237.406	3267.35	125.836	23.4541	19.8924	56	8860	75	
105.412	12.0493	1073.64	7629.71	1858.04	354.859	9846.52	395.993	44.3014	23.3264	56	10380	75	
65.5936	9.13911	933.737	5989.23	1539.19	641.887	8511.54	310.84	37.3869	36.7174	56	9790	75	
69.9727	7.34842	589.555	3516.83	1143.06	279.086	5080.78	192.551	28.0803	20.8039	56	9180	75	
149.787	9.00865	351.837	885.697	804.534	205.527	1913.19	74.4147	20.1705	19.7989	56	8640	75	
223.999	22.4508	4642.32	12612.3	3803.43	21687	39869.7	706.036	82.2701	984.565	56	11220	75	
124.187	11.449	956.22	4473.28	1678.33	1877.91	8928.59	264.972	36.9257	94.5126	56	9760	75	
259.892	19.8637	862.62	6170.52	2712.87	422.128	10222.2	424.284	52.6515	31.379	56	10909	75	
70.6904	14.0656	3337.91	11808.4	2747.77	12679.3	29348.2	618.822	62.315	576.807	56	11110	75	
152.403	16.5765	2007.51	9048.19	2639.86	5039.06	19432.5	503.398	56.5967	235.754	56	11041	75	
377.74	24.1409	1088.8	8375.49	3212.67	344.931	12375.9	573.324	59.2894	23.7762	56	11670	75	
165.791	18.2933	1760.12	13438.1	3648.46	553.148	19992.2	772.414	74.5188	30.9528	56	11710	75	
32.0887	8.92634	2614.53	8107.4	1748.95	11194.5	21225.6	415.67	45.7459	513.694	56	8780	75	
69.1551	8.27654	1273.53	3670.35	1282.78	4936.6	10288.3	200.14	30.7014	230.891	56	9180	75	
101.875	6.70546	281.174	922.954	799.654	214.443	1941.53	76.6252	19.2456	18.679	56	8640	75	
220.988	14.3971	533.436	3149.21	1405.18	265.593	5098	211.627	30.2491	21.0237	56	10010	75	
138.239	12.9056	814.881	5440.79	1646.43	352.65	8271.73	306.111	37.5816	25.0508	56	10170	75	
487.622	30	1141.82	9919.01	4634.42	398.806	15039.8	765.734	79.0767	28.5775	56	12205	75	
318.746	19.7473	692.767	4684.58	1884.6	271.822	6844.09	312.582	38.4025	20.7092	56	10909	75	
301.861	28.2332	2747.54	9443.4	3809.53	11308.6	25032.8	602.37	76.197	521.274	56	11020	75	
300.408	19.3527	565.229	3949.35	2038.07	310.292	6471.73	296.481	39.7333	24.7052	56	10650	75	
158.6	16.2948	1227.55	8858.32	2406.18	428.867	12861.1	494.012	52.4717	27.9966	56	11041	75	
357.538	31.1919	1086.25	8409.78	4406.63	540.831	14391.7	632.517	79.4238	38.7215	56	11270	75	
275.239	17.5146	491.492	3397.18	1888.05	282.319	5625.92	268.944	37.4599	24.349	56	10017	75	
348.71	33.4516	3558.73	15339.5	6127.89	12495.2	35801	1033.14	121.498	578.746	56	11740	75	
125.359	8.79957	489.818	2090.33	956.069	235.388	3298.31	126.838	24.1223	20.5656	56	8860	75	
92.0601	10.1361	899.765	5937.72	1540.5	320.067	7806.56	308.867	37.7091	22.5436	56	9790	75	
85.8409	7.8587	603.978	3495.48	1145.92	269.024	4915.49	191.826	28.3157	20.57	56	9180	75	
121.175	7.48484	307.037	874.061	783.298	208.162	1872.75	73.1056	19.2978	18.9196	56	8640	75	
200.955	17.0853	951.374	6232.28	2327.44	420.014	10355.3	383.829	48.1494	30.246	56	10690	75	
160.06	12.8994	782.942	5293.34	1609.24	303.447	7254.28	298.822	36.7066	21.558	56	10170	75	
141.206	11.2797	645.186	4050.51	1384.59	290.249	5976.89	235.919	31.814	21.5908	56	9760	75	
461.029	30	1205.52	10702.6	5120.49	457.445	16381	826.274	87.5224	32.8307	56	12205	75	
282.983	19.7473	743.957	5291.9	2244.61	350.682	8474.8	356.307	44.6464	26.3073	56	10909	75	
270.658	18.9726	1045.69	6938.85	2244.44	327.856	9521.27	416.98	47.3662	22.6925	56	11020	75	
130.211	16.153	1669.71	12978.3	3294.54	482.392	17563	719.092	69.8761	27.4524	56	11489	75	
310.189	19.3527	551.228	3684.1	1896.82	288.723	6025.72	275.959	37.336	23.1741	56	10650	75	
202.901	12.8408	397.066	2277.45	1384.52	244.728	3938.25	182.527	29.1704	21.6164	56	9350	75	
255.787	24.627	3618.05	10391.7	3540.12	16433.4	31353.8	606.262	74.3662	749.477	56	11041	75	
312.515	17.7694	456.308	2546.57	1438.38	212.364	4200.22	203.679	29.9406	19.6478	56	10017	75	
46.9447	2.56869	213.462	387.738	480.19	142.797	1012.24	47.7176	16.8672	18.7029	56	5970	75	
350.695	33.7502	3903.86	16525.2	6458.93	14044.3	39026	1105.88	129.048	648.768	56	11850	75	
152.117	9.06817	313.504	1374	920.874	176.702	2479.46	118.183	22.9507	19.4552	56	8130	75	
122.649	7.17026	304.769	707.177	656.148	172.512	1535.68	68.3716	19.2282	19.6036	56	7640	75	
197.733	12.1952	379.247	2160.71	1284.72	209.404	3683.83	178.417	28.7539	21.5225	56	8690	75	
97.5282	9.519	845.856	4675.55	1335.56	292.265	6330.59	244.673	33.5381	22.5022	56	9340	75	
86.9118	6.75195	429.618	2074.7	927.533	238.929	3243.97	125.079	22.9496	19.3841	56	8860	75	
59.1986	9.42979	2074.05	6185.17	1622.94	8707.8	16952.2	320.526	39.1029	399.938	56	9790	75	
51.4546	5.52013	560.588	3121.52	921.748	221.323	4264.47	171.623	26.695	20.7679	56	7790	75	
93.3835	5.79348	293.365	441.03	590.86	186.333	1229.73	43.1059	17.338	19.4481	56	7860	75	
183.355	12.7098	699.211	3571.94	1342.67	261.394	5201.03	213.237	31.2766	21.4749	56	9610	75	
164.54	9.79437	420.595	903.382	836.958	207.444	1975.79	76.253	20.9202	20.3098	56	8640	75	
240.268	14.9158	541.137	3101.94	1401.02	247.055	4754.94	209.602	30.3096	20.1601	56	10010	75	
140.874	11.5916	574.112	3282.82	1567.85	319.689	5779.68	220.285	33.3907	24.9091	56	9480	75	
137.901	14.6025	1644.09	7056.8	2141.37	4510.73	15103.1	385.807	47.4883	212.688	56	10580	75	
449.414	30	1272.02	11139	5486.53	483.058	17160.4	859.88	93.7265	34.6884	56	12205	75	
299.706	28.5731	1455.8	7115.31	3469.92	3795.72	15006.4	497.094	66.0469	183.95	56	10909	75	
244.894	18.2372	967.54	6987.73	2218.35	345.265	9940.45	418.293	46.5716	23.8211	56	11020	75	
191.341	20.0064	2503.07	12537.6	3856.64	4226.82	27422	740.27	76.7226	197.365	56	11700	75	
116.612	16.2887	2161.02	13139.9	3335.3	2128.57	23197.1	727.081	70.8351	101.2	56	11489	75	
272.53	19.3595	605.918	4720.21	2448.59	372.975	7767.93	356.121	46.7007	29.1549	56	10650	75	
95.8155	5.70677	268.306	982.506	749.99	164.963	1908.93	91.8398	20.9037	19.7204	56	6830	75	
62.6924	3.85676	248.248	266.555	468.566	163.852	898.75	34.0341	16.2927	19.0891	56	7060	75	
61.3436	3.56907	247.504	244.992	451.174	157.768	853.867	35.3091	16.389	19.3289	56	6540	75	
270.814	15.4751	560.233	1869.13	1229.89	207.747	3340.69	152.765	27.4898	20.7396	56	9350	75	
78.3553	4.34212	257.256	434.611	518.33	153.466	1106.58	51.7293	17.6015	19.4036	56	6360	75	
93.9866	5.52343	297.248	278.964	491.793	172.761	942.977	37.8523	17.1412	20.2099	56	7060	75	
73.4142	4.21193	266.404	249.778	460.133	161.205	870.926	36.7819	16.7163	19.7612	56	6540	75	
131.895	7.39569	305.308	856.601	699.178	163.081	1718.98	83.1017	20.2312	19.6657	56	7120	75	
339.339	19.198	597.213	2582.94	1505.1	212.271	4328.53	207.6	31.7197	20.6263	56	10017	75	
78.3331	5.72885	434.152	1631.01	693.096	196.722	2520.45	102.198	21.8614	20.7929	56	7270	75	
60.8069	3.25587	233.855	378.476	482.436	145.456	1006.76	48.2355	17.1015	19.1026	56	5970	75	
194.348	11.0324	368.065	1276.82	889.64	178.554	2344.89	113.747	22.9815	20.1599	56	8130	75	
141.872	8.19407	335.502	714.966	670.714	177.985	1563.43	70.7213	19.7549	20.2921	56	7640	75	
153.054	8.64464	328.08	982.739	759.088	169.282	1911.11	92.1433	21.0915	19.8756	56	7490	75	
161.124	10.7043	698.203	2143.97	1054.46	241.461	3488.19	131.975	26.3948	21.8314	56	8860	75	
96.0936	8.5126	759.697	3661.22	1115.15	257.807	5056.4	197.694	30.0628	22.3878	56	8510	75	
75.5959	6.80584	598.388	3131.09	939.666	228.196	4298.58	174.568	27.3495	21.6326	56	7790	75	
131.831	7.8411	438.501	478.404	659.342	197.279	1361.73	47.9224	19.0681	20.7963	56	7860	75	
227.219	14.1868	725.869	2655.81	1293.93	241.018	4239.14	175.399	29.8661	21.6692	56	9480	75	
270.674	17.4775	881.462	4321.94	1679.8	276.561	6315.49	269.988	37.1889	22.234	56	10290	75	
206.676	16.3207	1158.53	6768.43	1953.38	339.662	9090.31	374.07	44.981	23.7918	56	10580	75	
209.69	15.389	1010.14	5343.5	1715.49	301.243	7400.69	304.118	39.649	23.0563	56	10170	75	
368.864	21.2551	731.237	3228.28	1717.03	251.738	5224.25	242.412	35.3174	21.1886	56	10650	75	
119.607	6.62481	288.004	827.153	676.849	156.889	1661.19	81.4697	19.9245	19.4291	56	6830	75	
97.1339	15.8424	2575.07	20238.6	4116.07	628.398	24983.2	1025.24	93.8431	32.0334	56	11680	75	
132.232	14.8523	1469.08	9528.03	2273.97	408.65	12231.5	492.907	53.8546	25.6474	56	10868	75	
403.024	24.7954	1150.88	8312.95	3229.65	323.126	11874.5	571.173	59.8428	22.3395	56	11670	75	
332.115	22.8884	1386.13	10405.4	3474.05	370.564	14257.6	661.448	66.6114	23.7355	56	11740	75	
138.941	13.835	1278.67	7682.62	1955.14	361.11	10033.2	401.028	46.8776	24.6045	56	10380	75	
145.747	11.0492	850.163	3558.97	1262.31	269.972	5139.49	198.067	31.4028	22.5777	56	9180	75	
280.951	17.0825	757.256	3157.72	1503.35	245.552	4951.77	214.963	33.0135	21.5939	56	10010	75	
281.12	18.7793	988.998	5400.83	1889.1	306.27	7622.08	326.42	41.5209	22.727	56	10690	75	
206.347	14.2708	879.467	4066.4	1488.42	270.273	5873.41	239.776	34.7301	22.4467	56	9760	75	
284.07	19.6869	1129.14	6960.39	2283.99	334.071	9597.23	419.026	48.4571	23.2294	56	11020	75	
248.215	20.3264	1597.83	12103	3546.29	415.708	16073	719.675	71.0357	25.1549	56	11700	75	
153.752	17.0289	1746.14	12962.7	3334.42	458.296	16759.9	719.577	71.0204	26.9052	56	11489	75	
185.999	10.9372	553.938	937.691	899.902	213.553	2097.31	79.5257	22.3371	21.0784	56	8640	75	
214.694	17.703	1333.54	8706.69	2439.18	376.236	11540.4	488.564	53.5833	24.5053	56	11041	75	
243.725	13.7631	410.407	1751.49	1084.89	183.091	3021.2	149.502	25.814	20.1865	56	8690	75	
118.987	10.6619	979.199	4709.96	1398.69	295.303	6452.12	247.946	35.1462	23.2707	56	9340	75	
127.825	12.0408	1108.15	5991.47	1639.12	317.707	7996.44	314.003	40.2091	23.8094	56	9790	75	
349.558	21.3328	886.73	4734.2	1976.44	286.113	7017.41	317.315	40.9365	21.9451	56	10909	75	
422.88	24.383	878.616	5316.64	2489.29	275.82	8096.88	395.41	46.7883	21.3184	56	11270	75	
119.718	12.8112	1159.08	7651.74	1898.46	353.542	9924.37	398.096	45.314	23.835	56	10380	75	
194.13	16.6077	1205.57	8673.65	2378.55	366.707	11423.9	485.428	51.9106	23.6051	56	11041	75	
359.029	20.7312	670.037	3212.48	1688.03	247.181	5168.55	240.912	34.5174	20.7953	56	10650	75	
150.394	10.1329	631.531	2126.75	1022.86	238.406	3427.42	130.338	25.5587	21.4471	56	8860	75	
125.53	13.1207	1195.22	7661.07	1915.6	354.895	9957.28	398.982	45.7867	24.0574	56	10380	75	
112.625	11.2313	1013.7	5967.05	1594.3	318.173	7910.36	311.685	38.9727	23.265	56	9790	75	
224.875	16.9258	808.363	5480.91	1823.6	339.132	8357.37	327.887	39.576	24.5044	56	10690	75	
184.513	10.5086	352.665	1272.92	882.34	175.754	2330.99	112.547	22.7148	19.8076	56	8130	75	
112.814	6.64645	289.369	703.277	648.848	169.712	1521.78	67.1716	18.9615	19.2513	56	7640	75	
35.4309	4.72138	582.509	3123.07	910.993	563.665	4603.35	170.587	26.2744	35.8293	56	7790	75	
119.314	7.1455	330.371	499.647	620.404	189.944	1319.69	49.8671	18.3158	20.1846	56	7830	75	
222.539	19.7086	1541.82	12174	3533.29	440.284	16629	722.296	70.5844	26.7959	56	11700	75	
111.331	6.30045	273.108	848.447	683.914	157.226	1689.92	80.5926	19.6736	18.9291	56	7120	75	
64.9213	5.01457	413.152	1625.69	683.141	192.904	2501.49	100.562	21.4978	20.3126	56	7270	75	
142.324	8.07321	311.28	978.484	751.124	166.228	1895.94	90.8342	20.8006	19.4913	56	7490	75	
205.313	13.0201	589.749	2620.67	1229.45	239.291	4115.08	172.058	28.1965	20.8847	56	9480	75	
187.453	15.2969	1038.92	6737.55	1896.7	330.755	8981.44	371.138	43.4174	23.023	56	10580	75	
114.35	13.8999	1357.81	9499.3	2221.25	400.364	12130.2	490.18	52.4001	24.8383	56	10868	75	
257.402	14.7608	476.894	1847.63	1190.45	204.059	3264.74	150.72	26.502	20.2593	56	9350	75	
60.4729	3.38974	229.256	427.52	505.057	148.375	1081.3	49.5475	17.1167	18.7631	56	6360	75	
31	8	3992	32196.7	5984	1090	39271.7	1576	139.667	49	111	12205	150	
60.0445	4	582	408.333	750	256.346	1445.67	39	21	25	111	8118	150	
246	15	1301	12277	7702.67	500	20480	947.667	131	36	111	12205	150	
8	-2.62846e-14	238	200	433.667	151	784.667	38	17.6667	21	111	5269	150	
31	2	322.667	366	671.667	257	1294	35	19	22.6667	111	8118	150	
125	15	17473.3	33409	7972.67	80594	121976	1635	186	3628.33	111	12205	150	
265	24	2852.67	23733.7	36085.7	7478.67	67298	1832	615	537.667	111	12205	150	
32.3202	2	328.576	366.955	673.439	256.459	1297.48	35.1364	19.0682	22.7576	111	8118	150	
31	10	9227.94	32668	6476.33	31969	71393.3	1599.22	151	1439.08	111	12205	150	
253	16	1903.76	16726.8	18726.7	3210.56	38663.7	1291.03	319.593	230.945	111	12205	150	
69.4782	9.27778	4483.47	10470.7	3110.11	18352.2	34006.9	545.631	72.0798	844.234	111	10868	150	
92.4279	8.9405	1946.49	9981.75	3413.18	3230.56	22902.9	573.275	73.3672	180.674	111	11041	150	
185.003	12.7089	1576.99	12240.5	9172.53	1873.29	26328.4	868.435	162.5	133.596	111	11670	150	
195.075	13.8373	1366.88	10405.9	12265.2	2457.95	25893.1	786.851	213.805	178.307	111	11270	150	
152.34	11.7709	1930.11	13363.5	6936.29	1926.39	29063.8	877.958	128.131	132.78	111	11740	150	
106.078	7.51384	674.082	4109.81	5962.42	1256.62	11328.9	331.897	109.752	97.8804	111	8690	150	
35.1445	4.24395	1512.5	5002.99	1523.48	4289.53	11243.2	262.955	38.0151	204.661	111	9340	150	
77.5394	8.75776	3904.9	8659.49	3201.81	16284.3	29311.2	460.05	71.428	751.413	111	10380	150	
42.7947	5.32319	1934.29	6444.17	1871.71	5864.7	15305.3	338.809	45.1495	278.595	111	9790	150	
45.9025	4.25766	954.139	3870.75	1456.13	1731.75	8390.91	216.522	35.2916	94.7528	111	9180	150	
60.8977	3.8396	426.173	1468.69	1853.5	443.335	3765.01	120.152	38.755	36.0179	111	8640	150	
123.838	11.0958	1385.74	6072.47	7556.02	4228.39	18122.9	437.037	136.744	237.719	111	10010	150	
125.536	11.1334	2013.29	8178.16	7249.97	6369.55	23717	532.985	134.417	335.91	111	10690	150	
78.3033	6.19041	892.557	4684.58	2058.84	928.874	10689	281.092	45.5205	67.6934	111	9760	150	
31	10	9227.94	32668	6476.33	31969	71393.3	1599.22	151	1439.08	111	12205	150	
250.615	15.6593	1656.15	14898.7	14197.9	2097.03	31193.5	1149.95	242.213	150.874	111	12205	150	
158.733	12.4357	1276.48	8452.69	9337.82	2300.05	22357.5	600.123	167.193	166.474	111	10909	150	
124.551	9.77077	1364.02	8591.27	4286.77	1575.82	19602.3	534.905	84.5645	111.996	111	11020	150	
116.426	11.7672	4249.61	15389.8	8030.93	12353.3	43726.8	955.441	151.334	597.105	111	11700	150	
71.166	10.3176	5305.79	14962	5012.16	18860.1	44990	851.02	107.749	870.457	111	11489	150	
191.113	12.2424	1183.33	9050.95	8908.33	1632.61	20356.2	682.305	156.432	118.938	111	11270	150	
106.894	8.05806	690.225	4228.97	6257.66	1329.21	11815.9	341.092	114.786	103.102	111	8690	150	
35.1445	4.30388	1652.72	5015.62	1530.85	5116.49	12103.4	263.579	38.1949	241.878	111	9340	150	
36.0164	3.89317	1930.06	3929.49	1299.52	7581.49	12865.1	210.978	34.8576	352.419	111	8510	150	
85.8247	5.94963	697.898	3500.91	2562.93	781.165	8342.66	237.501	52.1235	58.6323	111	9480	150	
84.877	7.84938	1317.78	7617.08	2598.42	1497.07	16436	428.562	57.1329	100.692	111	10580	150	
83.0695	7.05988	1081.92	6084.46	2344.03	1124.19	13456.9	352.735	51.5172	80.464	111	10170	150	
153.951	10.4525	1069.39	6978.69	5685.75	1399.38	16276.5	486.381	104.918	101.826	111	10909	150	
160.909	10.245	865.501	5690.24	6201.97	1256.84	13639.1	431.629	111.833	93.1365	111	10650	150	
49.0399	9.84201	6771.7	21928.7	5202.9	23862.9	53454.6	1121.17	118.942	1083.37	111	11680	150	
188.291	13.6773	2071.59	13595.5	12529.4	2816.88	34263.8	972.981	219.977	195.488	111	11670	150	
148.812	9.30441	805.573	5319.48	6844.36	1357.73	13521.6	419.05	122.977	102.337	111	10017	150	
152.55	11.8281	1994.66	13482.7	7231.52	2017.36	29924	887.153	133.186	138.376	111	11740	150	
