D_HDN	D_MFI	VPCT	VPPD_Nor	VPPD_Cen	VPPD_Sur	VPPD_Tot	CMg_Nor	CMg_Cen	CMg_Sur	Capital	Dem_Tot	Ccapital	
104.191	10.7069	1452.01	7629.7	2649.3	2324.03	17296.2	429.186	58.2894	137.908	74	10580	100	
379	24	1897.76	16726.8	18726.7	3210.56	38663.7	1291.03	319.593	230.945	74	12205	100	
209.961	14.7354	1079.58	7097.84	5980.99	1471.97	16763.5	495.576	109.953	107.048	74	10909	100	
221.763	14.2017	875.747	5809.4	6497.21	1329.42	14126	440.824	116.868	98.358	74	10650	100	
134.674	8.43406	649.496	3788.19	5004.11	1036.25	9828.36	300.902	92.1153	79.3184	74	9350	100	
111.915	12.492	1800.27	9969.13	3362.3	2403.6	22042.7	572.651	72.2107	143.458	74	11041	100	
209.08	18.3306	983.121	6674.32	10201.2	2182.98	19058.5	523.597	180.218	161.706	74	10017	100	
77.8622	5.00275	436.323	1587.85	2148.74	515.916	4251.99	129.347	43.7893	41.2395	74	8640	100	
69.4555	8.95939	2164.61	8314.36	2310.4	6054.81	18670	437.13	54.0919	291.044	74	10380	100	
134.465	8.39039	633.353	3669.03	4708.87	963.671	9341.39	291.708	87.081	74.0968	74	9350	100	
199.581	12.3841	783.43	5200.32	6549.12	1285.15	13034.6	409.856	117.943	97.1153	74	10017	100	
46.6593	13.9778	7071.02	32474.5	6146.51	19283.4	58197.1	1589.73	143.622	867.993	74	12205	100	
159.408	13.7225	1341.87	8472.11	3991.53	1503.23	19115.3	525.71	79.5302	106.774	74	11020	100	
211.618	19.0727	3032.06	14837.6	10588.4	6062.07	39705	991.7	190.663	331.536	74	11740	100	
102.154	9.25494	1092.07	6097.09	2394.91	1196.77	13943.9	353.359	52.6737	85.6856	74	10170	100	
66.8523	5.09583	593.93	2415.26	1300.15	596.137	5846.4	149.39	31.2426	45.438	74	8860	100	
69.4854	9.04929	2304.84	8326.99	2317.77	6881.77	19530.2	437.754	54.2717	328.261	74	10380	100	
142.922	9.97998	797.323	4598.47	3903.95	1003.09	10947.4	323.296	74.4693	74.4155	74	10010	100	
60.838	12.6695	5031.29	21772.5	4806.69	13633.3	42813.4	1113.45	110.982	622.868	74	11680	100	
96.9716	7.89325	902.711	4699.51	2115.01	1001.46	11176	281.901	46.7609	72.915	74	9760	100	
86.4426	13.0173	3565.39	14805.8	4413.6	8630.47	34348.8	843.3	97.9212	409.96	74	11489	100	
273.059	17.5205	1161.19	8931.79	8613.09	1560.03	19869.2	673.11	151.398	113.716	74	11270	100	
42.3371	4.61999	1783.85	3916.86	1248.64	6754.53	12004.9	210.354	33.7012	315.202	74	8510	100	
140.629	15.5886	2509.18	14512.2	5361.16	2123.68	33085.5	889.694	110.633	136.607	74	11700	100	
227.95	17.6019	1059.22	7164.25	9854.04	2154.67	19663	545.371	174.108	157.727	74	10650	100	
116.474	15.2047	3534.93	10806.6	5643.74	12633.1	32683.9	635.184	111.316	603.826	74	11041	100	
375.293	23.2586	1634.01	14779.6	13902.6	2024.43	30706.5	1140.76	237.158	145.653	74	12205	100	
199.071	12.2822	755.987	4997.74	6047.22	1161.76	12206.7	394.224	109.385	88.2386	74	10017	100	
71.7763	7.09963	2558.35	5097.7	1741.67	10491.7	17695	267.635	43.0199	483.785	74	9340	100	
138.932	10.8389	978.206	5689.61	3768.27	1216.83	13572	369.873	73.8823	88.5427	74	10290	100	
275.876	18.1214	1312.94	10051.9	11388.3	2242.35	24446.8	759.542	198.791	162.799	74	11270	100	
70.5829	10.555	2883.45	10327.1	2707.47	8949.64	24225.9	538.536	62.9822	421.081	74	10868	100	
50.7027	5.78874	1983.39	5045.92	1548.55	7101.2	14168	265.077	38.6265	331.197	74	9340	100	
242.197	19.534	2428.17	15671.8	10255.9	2574.48	37067	1065.46	183.364	173.525	74	12010	100	
99.7491	7.63867	571.239	2777.27	4144.2	944.24	7865.27	220.766	77.4988	71.8429	74	9000	100	
123.361	15.2153	4986.95	10783.2	3917.96	21354	37129.6	569.354	85.986	979.33	74	10868	100	
133.08	8.19261	526.812	2882.58	2760.31	484.632	6127.34	231.021	53.8544	39.6346	74	9350	100	
264.024	18.8052	1622.65	12621.9	10117.3	2105.58	27886.8	897.859	178.677	150.305	74	11670	100	
328.063	20.2286	1298.75	11184.7	10134.4	1462.65	22866.4	862.864	174.603	106.234	74	11727	100	
152.502	12.4472	1126.54	6704.16	3597.9	1330.36	15643.9	419.244	72.1427	95.6748	74	10690	100	
208.496	14.4117	992.445	6454.38	4386.72	1080.02	14133.8	445.924	82.7673	78.8516	74	10909	100	
158.925	13.5668	1304.74	8324.57	3522.86	1336.29	17995.2	514.741	72.5568	94.7646	74	11020	100	
225.471	15.8994	1020.97	6881.84	9154.33	1982.65	18508.8	523.579	162.176	145.352	74	10650	100	
312.461	19.4672	1262.02	10561.5	9745.47	1501.11	22086	810.25	168.716	109.137	74	11597	100	
206.178	16.3883	944.861	6391.91	9501.49	2010.96	17904.4	501.805	168.286	149.331	74	10017	100	
143.786	10.2467	861.868	5075.11	5084.89	1293.42	12895.3	360.076	94.6066	95.3017	74	10010	100	
168.006	18.2094	2857.56	10307.2	8538.17	9748.85	30901.2	667.312	157.103	488.67	74	11020	100	
146.655	19.1938	9717.92	22420.4	6144.09	41865.9	74812	1146.96	138.116	1912.6	74	11680	100	
317.783	21.0284	1612.78	13821.8	8914.13	1324.94	26403.9	1006.81	155.279	93.6583	74	12140	100	
205.868	16.931	1709.09	12996.6	5548.37	1412.75	25049.6	850.991	110.192	97.9888	74	11740	100	
200.524	14.3887	1063.87	7445.61	3454.7	426.312	11457.7	492.801	69.3787	30.6208	74	11050	100	
140.097	11.2886	1060.5	6297.32	5273.97	1587	16055.6	416.768	99.5574	115.173	74	10290	100	
213.459	16.2563	1228.05	8194.11	8697.16	2139.72	21243.7	580.17	156.268	155.086	74	10909	100	
113.907	13.3826	2053.92	12341.8	4126.08	1669.04	26009	725.797	88.3793	109.46	74	11340	100	
140.143	15.0571	2119.41	14436.5	5147.79	1553.83	27924.1	885.949	107.891	101.935	74	11700	100	
87.1705	13.6826	4603.11	14899.3	4692.04	14750.1	40714.6	847.919	102.001	685.439	74	11489	100	
