D_HDN    D_MFI VPCT     VPPD_Nor VPPD_Cen VPPD_Sur VPPD_Tot CMg_Nor  CMg_Cen  CMg_Sur  Capital  Dem_Tot  Ccapital
8	0	238	200	434	151	785	38	18	21	111	5269	150
3	0	214	187	406	141	735	36	16	20	111	5269	150
12	1	200	177	382	133	692	34	16	19	111	5269	150
187	23	34924	66819	15946	161188	243953	3270	372	7257	74	12205	100
199	20	31888	63905	14283	161508	239695	3128	333	7272	74	12205	100
220	21	30052	65521	14688	161586	241795	3207	342	7275	74	12205	100
250	31	34922	66819	15946	161188	243953	3270	372	7257	56	12205	75
265	26	31885	63905	14283	161508	239695	3128	333	7272	56	12205	75
293	28	30049	65521	14688	161586	241795	3207	342	7275	56	12205	75
125	15	34930	66819	15946	161188	243953	3270	372	7257	111	12205	150
133	13	31894	63905	14283	161508	239695	3128	333	7272	111	12205	150
146	14	30058	65521	14688	161586	241795	3207	342	7275	111	12205	150
47	15	33909	66892	12953	161832	241677	3274	302	7286	74	12205	100
22	13	31141	64825	11568	161708	238101	3173	270	7281	74	12205	100
27	13	29473	66181	11828	161746	239754	3239	276	7282	74	12205	100
62	20	33907	66892	12953	161832	241677	3274	302	7286	56	12205	75
30	17	31138	64825	11568	161708	238101	3173	270	7281	56	12205	75
36	17	29470	66181	11828	161746	239754	3239	276	7282	56	12205	75
31	10	33915	66892	12953	161832	241677	3274	302	7286	111	12205	150
15	9	31146	64825	11568	161708	238101	3173	270	7281	111	12205	150
18	9	29478	66181	11828	161746	239754	3239	276	7282	111	12205	150
46	12	7961	64394	11969	2181	78543	3152	279	98	74	12205	100
43	12	7014	60872	10933	1798	73604	2979	255	81	74	12205	100
44	12	7449	61634	11150	1697	74481	3017	260	76	74	12205	100
61	16	7958	64394	11969	2181	78543	3152	279	98	56	12205	75
57	16	7011	60872	10933	1798	73604	2979	255	81	56	12205	75
58	16	7446	61634	11150	1697	74481	3017	260	76	56	12205	75
31	8	7967	64394	11969	2181	78543	3152	279	98	111	12205	150
29	8	7020	60872	10933	1798	73604	2979	255	81	111	12205	150
29	8	7455	61634	11150	1697	74481	3017	260	76	111	12205	150
123	5	1142	817	1500	574	2891	79	43	51	74	8118	100
119	5	1080	769	1411	539	2719	74	40	48	74	8118	100
125	6	1047	745	1367	522	2633	72	39	46	74	8118	100
164	7	1139	817	1500	574	2891	79	43	51	56	8118	75
159	6	1077	769	1411	539	2719	74	40	48	56	8118	75
167	8	1044	745	1367	522	2633	72	39	46	56	8118	75
82	4	1147	817	1500	574	2891	79	43	51	111	8118	150
80	3	1086	769	1411	539	2719	74	40	48	111	8118	150
83	4	1053	745	1367	522	2633	72	39	46	111	8118	150
46	4	623	732	1343	514	2589	71	38	46	74	8118	100
61	4	514	628	1153	441	2222	61	33	39	74	8118	100
